OPERADOR,ID OPERADOR,ID SERVICIO ORBYTA,CLIENTE/USO,DIRECCION,"CAPACIDAD(mbps)",ORDEN DE COMPRA,ESTA VIGENTE,MONEDA,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,FACTURA,NETO
CLARO,06-01-0010053734,,Orbyta,"BW Internacional 100 mbps x US$ 7,8",,,NO,USD,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARO,15-02-0010076648,,Orbyta Trama SS7,Servicio telefonico,,,SI,UF,,,13173734,3.9,13181181,3.9,13188424,3.9,13195738,3.9,13356832,3.9,13364177,3.9,13371416,3.9,13378619,3.9,13586008,3.9,13593097,3.9,13600135,3.9,13830817,3.9,13837781,3.9,13844769,3.9,13851710,3.9,14020342,3.9,14027254,3.9,14034243,3.9,14041209,3.9,14407670,3.9,14414674,3.9,14421586,3.9,14428479,3.9,14635480,3.9,14642620,3.9,14649638,3.9,14656417,3.9,14953230,3.9,,,,
CLARO,15-02-0010152440,,Orbyta Trama SS7,Servicio telefonico,,,SI,UF,,,13173734,3.9,13181181,3.9,13188424,3.9,13195738,3.9,13356832,3.9,13364177,3.9,13371416,3.9,13378619,3.9,13586008,3.9,13593097,3.9,13600135,3.9,13830817,3.9,13837781,3.9,13844769,3.9,13851710,3.9,14020342,3.9,14027254,3.9,14034243,3.9,14041209,3.9,14407670,3.9,14414674,3.9,14421586,3.9,14428479,3.9,14635480,3.9,14642620,3.9,14649638,3.9,14656417,3.9,14953230,3.9,,,,
CLARO,15-02-0010160498,,Orbyta Trama SS7,Servicio telefonico,,,SI,UF,,,13173734,3.9,13181181,3.9,13188424,3.9,13195738,3.9,13356832,3.9,13364177,3.9,13371416,3.9,13378619,3.9,13586008,3.9,13593097,3.9,13600135,3.9,13830817,3.9,13837781,3.9,13844769,3.9,13851710,3.9,14020342,3.9,14027254,3.9,14034243,3.9,14041209,3.9,14407670,3.9,14414674,3.9,14421586,3.9,14428479,3.9,14635480,3.9,14642620,3.9,14649638,3.9,14656417,3.9,14953230,3.9,,,,
CLARO,15-02-0010341775,,Orbyta Trama E1 Pri,Servicio telefonico,,2450,SI,UF,,14.7,13173734,1.8,13181181,1.8,13188424,1.8,13195738,1.8,13356832,1.8,13364177,1.8,13371416,1.8,13378619,1.8,13586008,1.8,13593097,1.8,13600135,1.8,13830817,1.8,13837781,1.8,13844769,1.8,13851710,1.8,14020342,1.8,14027254,1.8,14034243,1.8,14041209,1.8,14407670,1.8,14414674,1.8,14421586,1.8,14428479,1.8,14635480,1.8,14642620,1.8,14649638,1.8,14656417,1.8,14953230,1.8,,,,
CLARO,15-02-0010341777,,Orbyta Trama E1 Pri,Servicio telefonico,,2450,SI,UF,,,13173734,1.8,13181181,1.8,13188424,1.8,13195738,1.8,13356832,1.8,13364177,1.8,13371416,1.8,13378619,1.8,13586008,1.8,13593097,1.8,13600135,1.8,13830817,1.8,13837781,1.8,13844769,1.8,13851710,1.8,14020342,1.8,14027254,1.8,14034243,1.8,14041209,1.8,14407670,1.8,14414674,1.8,14421586,1.8,14428479,1.8,14635480,1.8,14642620,1.8,14649638,1.8,14656417,1.8,14953230,1.8,,,,
CLARO,15-02-0010341778,,Orbyta Trama E1 Pri,Servicio telefonico,,2450,SI,UF,,,13173734,1.8,13181181,1.8,13188424,1.8,13195738,1.8,13356832,1.8,13364177,1.8,13371416,1.8,13378619,1.8,13586008,1.8,13593097,1.8,13600135,1.8,13830817,1.8,13837781,1.8,13844769,1.8,13851710,1.8,14020342,1.8,14027254,1.8,14034243,1.8,14041209,1.8,14407670,1.8,14414674,1.8,14421586,1.8,14428479,1.8,14635480,1.8,14642620,1.8,14649638,1.8,14656417,1.8,14953230,1.8,,,,
ENTEL,10000257917,13-0012-088,Orbyta Nodo Los Abedules,Los Abedules 3085,100,765,SI,UF,,,,8.22,17608095,8.22,"17663201",8.22,17714499,8.22,17768872,8.22,17823836,8.22,17879154,8.22,17953361,8.22,18008672,8.22,18047299,8.22,18123630,8.22,18183303,8.22,18226050,8.22,18283989,8.22,18346634,8.22,18403789,8.22,18465213,8.22,18543504,8.2,18630119,8.2,18671967,8.2,18731482,8.2,18794008,8.2,18839347,8.2,18919648,8.2,18996840,8.2,19047133,8.2,19137376,8.2,19162082,8.22,19223788,8.2,,
ENTEL,10000257933,13-0012-104,Orbyta Nodo Workennedy,Av Kennedy 5600,100,498,SI,UF,,,,8.22,17608095,8.22,"17663201",8.22,17714499,8.22,17768872,8.22,17823836,8.22,17879154,8.22,17953361,8.22,18008672,8.22,18047299,8.22,18123630,8.22,18183303,8.22,18226050,8.22,18283989,8.22,18346634,8.22,18403789,8.22,18465213,8.22,18543504,8.2,18630119,8.2,18671967,8.2,18731482,8.2,18794008,8.2,18839347,8.2,18919648,8.2,18996840,8.2,19047133,8.2,19137376,8.2,19162082,8.22,19223788,8.2,,
ENTEL,10000265034,13-0006-034,CONSTRUCTORA EXCON S.A,"Faena Toconao, Salar de Atacama",40,909/922,SI,UF,,,,13.57,17608095,13.57,"17663201",13.57,17714499,13.57,17768872,13.57,17823836,13.57,17879154,13.57,17953361,13.57,18008672,13.57,18047299,13.57,18123630,13.57,18183303,13.57,18226050,13.57,18283989,13.57,18346634,13.57,18403789,13.57,18465213,13.57,18543504,13.6,18630119,13.6,18671967,13.6,18731482,13.6,18794008,13.6,18839347,13.6,18919648,13.6,18996840,13.6,19047133,13.6,19137376,13.6,19162082,13.57,19223788,13.6,,
ENTEL,10000307254,12-0019-060,FUENZALIDA PROPIEDADES SANTIAGO S.A.,JOSE ALCALDE DELANO 12486,4,814,SI,UF,,,,,17608095,2.72,"17663201",2.72,17714499,2.72,17768872,2.72,17823836,2.72,17879154,2.72,17953361,2.72,18008672,2.72,18047299,2.72,18123630,2.72,18183303,2.72,18226050,2.72,18283989,2.72,18346634,2.72,18403789,2.72,18465213,2.72,18543504,2.7,18630119,2.7,18671967,2.7,18731482,2.7,18794008,2.7,18839347,2.7,18919648,2.7,18996840,2.7,19047133,2.7,19137376,2.7,19162082,2.72,19223788,2.7,,
ENTEL,10000341398,15-0102-045,Agrocomercial Codigua (La Vaquita),Av Providencia 1208,100,1199/1457,SI,UF,,,,8.22,17608095,8.22,"17663201",8.22,17714499,8.22,17768872,8.22,17823836,8.22,17879154,8.22,17953361,8.22,18008672,8.22,18047299,8.22,18123630,8.22,18183303,8.22,18226050,8.22,18283989,8.22,18346634,8.22,18403789,8.22,18465213,8.22,18543504,13.2,18630119,8.2,18671967,8.2,18731482,8.2,18794008,8.2,18839347,8.2,18919648,8.2,18996840,8.2,19047133,8.2,19137376,8.2,19162082,8.22,19223788,8.2,,
ENTEL,10000349374,17-0002-004,ASOCIACIÓN DE EXPORTADORES DE FRUTAS DE CHILE (ASOEX CABRERO),"Ruta 5 sur K, 458,5 ",10,1253,SI,UF,,,,4.1,17608095,4.1,"17663201",4.1,17714499,4.1,17768872,4.1,17823836,4.1,17879154,4.1,17953361,4.1,18008672,4.1,18047299,4.1,18123630,4.1,18183303,4.1,18226050,4.1,18283989,4.1,18346634,4.1,18403789,4.1,18465213,4.1,18543504,4.1,18630119,4.1,18671967,4.1,18731482,4.1,18794008,4.1,18839347,4.1,18919648,4.1,18996840,4.1,19047133,4.1,19137376,4.1,19162082,4.1,19223788,4.1,,
